Entry	Entry name	Gene names
Q9UIH9	KLF15_HUMAN	KLF15 KKLF
Q13351	KLF1_HUMAN	KLF1 EKLF
Q504T8	MIDN_HUMAN	MIDN
Q92794	KAT6A_HUMAN	KAT6A MOZ MYST3 RUNXBP2 ZNF220
P23083	HV102_HUMAN	IGHV1-2
L0R8F8	MIDUO_HUMAN	MIEF1
A0A0C4DH31	HV118_HUMAN	IGHV1-18
O43474	KLF4_HUMAN	KLF4 EZF GKLF
Q9Y383	LC7L2_HUMAN	LUC7L2 CGI-59 CGI-74
P01782	HV309_HUMAN	IGHV3-9
A0A0C4DH32	HV320_HUMAN	IGHV3-20
Q6NSJ5	LRC8E_HUMAN	LRRC8E
P01768	HV330_HUMAN	IGHV3-30
O95232	LC7L3_HUMAN	LUC7L3 CREAP1 CROP O48
Q9C099	LRCC1_HUMAN	LRRCC1 CLERC KIAA1764
P01763	HV348_HUMAN	IGHV3-48
A0A0A0MS15	HV349_HUMAN	IGHV3-49
A0A075B6Q5	HV364_HUMAN	IGHV3-64
P01767	HV353_HUMAN	IGHV3-53
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72
Q86VQ0	LCA5_HUMAN	LCA5 C6orf152
O95600	KLF8_HUMAN	KLF8 BKLF3 ZNF741
P06331	HV434_HUMAN	IGHV4-34
Q8N344	MIER2_HUMAN	MIER2 KIAA1193
P01824	HV439_HUMAN	IGHV4-39
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1
P0DP08	HVD82_HUMAN	IGHV4-38-2
P52895	AK1C2_HUMAN	AKR1C2 DDH2
Q17RW2	COOA1_HUMAN	COL24A1
Q6NZI2	CAVN1_HUMAN	CAVIN1 PTRF FKSG13
A6NDU8	CE051_HUMAN	C5orf51
P40199	CEAM6_HUMAN	CEACAM6 NCA
Q5VT06	CE350_HUMAN	CEP350 CAP350 KIAA0480 GM133
P18075	BMP7_HUMAN	BMP7 OP1
O75936	BODG_HUMAN	BBOX1 BBH BBOX
P51648	AL3A2_HUMAN	ALDH3A2 ALDH10 FALDH
Q9H0E9	BRD8_HUMAN	BRD8 SMAP SMAP2
P24298	ALAT1_HUMAN	GPT AAT1 GPT1
Q4G0S7	CC152_HUMAN	CCDC152 Chr5_400
P83916	CBX1_HUMAN	CBX1 CBX
A6NNP5	CC169_HUMAN	CCDC169 C13orf38
Q9UNA0	ATS5_HUMAN	ADAMTS5 ADAMTS11 ADMP2
Q5VV63	ATRN1_HUMAN	ATRNL1 KIAA0534
Q5T7M4	ADIPL_HUMAN	C1QTNF12 C1QDC2 CTRP12 FAM132A
Q14865	ARI5B_HUMAN	ARID5B DESRT MRF2
Q9P218	COKA1_HUMAN	COL20A1 KIAA1510
Q8WTZ4	CA5BL_HUMAN	CA5BP1 CA5B CA5BL
Q9BTV7	CABL2_HUMAN	CABLES2 C20orf150
Q8WTW3	COG1_HUMAN	COG1 KIAA1381 LDLB
A0A0U1RR37	CA232_HUMAN	C1orf232
Q8TCZ2	C99L2_HUMAN	CD99L2 MIC2L1 UNQ1964/PRO4486
Q9GZQ3	COMD5_HUMAN	COMMD5 HT002
P08571	CD14_HUMAN	CD14
P55289	CAD12_HUMAN	CDH12
Q9Y2W7	CSEN_HUMAN	KCNIP3 CSEN DREAM KCHIP3
O00501	CLD5_HUMAN	CLDN5 AWAL TMVCF
A6NJW9	CD8B2_HUMAN	CD8B2 CD8BP
Q9BRQ8	AIFM2_HUMAN	AIFM2 AMID PRG3
P0DP24	CALM2_HUMAN	CALM2 CAM2 CAMB
P35613	BASI_HUMAN	BSG UNQ6505/PRO21383
Q5VV42	CDKAL_HUMAN	CDKAL1
Q92989	CLP1_HUMAN	CLP1 HEAB
Q02930	CREB5_HUMAN	CREB5 CREBPA
Q5JWF8	ACL10_HUMAN	ACTL10 C20orf134
P53396	ACLY_HUMAN	ACLY
P0C7M7	ACSM4_HUMAN	ACSM4
Q9BXX2	AN30B_HUMAN	ANKRD30B
Q9H6R3	ACSS3_HUMAN	ACSS3
Q9H7C9	AAMDC_HUMAN	AAMDC C11orf67 PTD015
Q99798	ACON_HUMAN	ACO2
Q4W5N1	ABCAB_HUMAN	ABCA11P ABCA11
Q9HCE9	ANO8_HUMAN	ANO8 KIAA1623 TMEM16H
Q8IZP0	ABI1_HUMAN	ABI1 SSH3BP1
A6NC57	ANR62_HUMAN	ANKRD62
Q9H222	ABCG5_HUMAN	ABCG5
P28288	ABCD3_HUMAN	ABCD3 PMP70 PXMP1
P28039	AOAH_HUMAN	AOAH
O75106	AOC2_HUMAN	AOC2
Q9NPF8	ADAP2_HUMAN	ADAP2 CENTA2
P07355	ANXA2_HUMAN	ANXA2 ANX2 ANX2L4 CAL1H LPC2D
P08910	ABHD2_HUMAN	ABHD2 LABH2
P21333	FLNA_HUMAN	FLNA FLN FLN1
Q9UGQ2	FLOWR_HUMAN	CACFD1 C9orf7 PSEC0107 PSEC0248 UNQ3071/PRO9903
Q96D03	DDT4L_HUMAN	DDIT4L REDD2 RTP801L
Q68DC2	ANKS6_HUMAN	ANKS6 ANKRD14 PKDR1 SAMD6
A6NNH2	F90AR_HUMAN	FAM90A27P
Q9NYF3	FA53C_HUMAN	FAM53C C5orf6
E5RQL4	FONG_HUMAN	FTCDNL1 FONG
Q8TCE6	DEN10_HUMAN	DENND10 FAM45A
Q12947	FOXF2_HUMAN	FOXF2 FKHL6 FREAC2
Q30KP8	DB136_HUMAN	DEFB136
O14793	GDF8_HUMAN	MSTN GDF8
P19419	ELK1_HUMAN	ELK1
O00748	EST2_HUMAN	CES2 ICE
Q10586	DBP_HUMAN	DBP
O95876	FRITZ_HUMAN	WDPCP BBS15 C2orf86 FRITZ
Q9UKA2	FBXL4_HUMAN	FBXL4 FBL4 FBL5
Q9NR20	DYRK4_HUMAN	DYRK4
P0CG13	CTF8_HUMAN	CHTF8 CTF8
Q9BV94	EDEM2_HUMAN	EDEM2 C20orf31 C20orf49 UNQ573/PRO1135
O75530	EED_HUMAN	EED
Q6PD62	CTR9_HUMAN	CTR9 KIAA0155 SH2BP1
Q6ZN03	CU136_HUMAN	LINC00322 C21orf136 NCRNA00322
Q7Z388	D19L4_HUMAN	DPY19L4
Q13217	DNJC3_HUMAN	DNAJC3 P58IPK PRKRI
Q13619	CUL4A_HUMAN	CUL4A
Q13620	CUL4B_HUMAN	CUL4B KIAA0695
Q8N4Y2	EFC4A_HUMAN	CRACR2B EFCAB4A
Q9HCG8	CWC22_HUMAN	CWC22 KIAA1604 NCM
Q8NDI1	EHBP1_HUMAN	EHBP1 KIAA0903 NACSIN
Q14129	DGCR6_HUMAN	DGCR6
Q969M2	CXA10_HUMAN	GJA10 CX62
P00167	CYB5_HUMAN	CYB5A CYB5
Q9UPY8	MARE3_HUMAN	MAPRE3
Q9P0N8	MARH2_HUMAN	MARCH2 RNF172 HSPC240
Q8TCQ1	MARH1_HUMAN	MARCH1 RNF171
Q5T0T0	MARH8_HUMAN	MARCH8 MIR RNF178
A6NNE9	MARHB_HUMAN	MARCH11
Q92839	HYAS1_HUMAN	HAS1 HAS
Q96L34	MARK4_HUMAN	MARK4 KIAA1860 MARKL1
P05198	IF2A_HUMAN	EIF2S1 EIF2A
P0CW23	AKAI1_HUMAN	AKAIN1 C18orf42
Q8N960	CE120_HUMAN	CEP120 CCDC100
Q8NFQ6	BPIFC_HUMAN	BPIFC BPIL2
O60308	CE104_HUMAN	CEP104 KIAA0562
Q60I27	AL2CL_HUMAN	ALS2CL
Q8NEM8	CBPC3_HUMAN	AGBL3 CCP3
Q96M89	CC138_HUMAN	CCDC138
A6NI87	CBY3_HUMAN	CBY3
Q8WZ55	BSND_HUMAN	BSND BART
Q96G28	CFA36_HUMAN	CFAP36 CCDC104 UNQ163/PRO189
Q6P4E1	CASC4_HUMAN	CASC4 UNQ2573/PRO6308
P41223	BUD31_HUMAN	BUD31 EDG2
Q92851	CASPA_HUMAN	CASP10 MCH4
Q96N11	CG026_HUMAN	C7orf26
Q8TDX6	CGAT1_HUMAN	CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287
O60826	CCD22_HUMAN	CCDC22 CXorf37 JM1
E5RJ46	CH087_HUMAN	C8orf87
P36575	ARRC_HUMAN	ARR3 ARRX CAR
P0DMB2	CH088_HUMAN	C8orf88
Q8TC90	CCER1_HUMAN	CCER1 C12orf12
Q567U6	CCD93_HUMAN	CCDC93
Q9BXJ5	C1QT2_HUMAN	C1QTNF2 CTRP2 UNQ6349/PRO21054
Q96IX5	ATPMD_HUMAN	ATP5MD DAPIT HCVFTP2 USMG5 PD04912
P13236	CCL4_HUMAN	CCL4 LAG1 MIP1B SCYA4
Q9Y4X5	ARI1_HUMAN	ARIH1 ARI MOP6 UBCH7BP HUSSY-27
Q8TE56	ATS17_HUMAN	ADAMTS17
Q9Y426	C2CD2_HUMAN	C2CD2 C21orf25 C21orf258 TMEM24L
Q8N3C0	ASCC3_HUMAN	ASCC3 HELIC1
Q8IVW6	ARI3B_HUMAN	ARID3B BDP DRIL2
P30279	CCND2_HUMAN	CCND2
C9JSJ3	BHMG1_HUMAN	BHMG1
Q6PIY5	ARMD1_HUMAN	ARMH1 C1orf228 NCRNA00082
Q9HD36	B2L10_HUMAN	BCL2L10 BCLB
Q8N1D5	CA158_HUMAN	C1orf158
O94886	CSCL1_HUMAN	TMEM63A KIAA0489 KIAA0792
P09693	CD3G_HUMAN	CD3G T3G
Q8WXG9	AGRV1_HUMAN	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1
Q9HBT6	CAD20_HUMAN	CDH20 CDH7L3
P31150	GDIA_HUMAN	GDI1 GDIL OPHN2 RABGDIA XAP4
Q9C0G6	DYH6_HUMAN	DNAH6 DNAHC6 DNHL1 HL2 KIAA1697
P14324	FPPS_HUMAN	FDPS FPS KIAA1293
Q05BV3	EMAL5_HUMAN	EML5
Q8NEZ5	FBX22_HUMAN	FBXO22 FBX22
Q9Y297	FBW1A_HUMAN	BTRC BTRCP FBW1A FBXW1A
Q86XK2	FBX11_HUMAN	FBXO11 FBX11 PRMT9 VIT1 UG063H01
P25090	FPR2_HUMAN	FPR2 FPRH1 FPRL1 LXA4R
Q8NI29	FBX27_HUMAN	FBXO27 FBG5 FBX27
Q9HCC8	GDPD2_HUMAN	GDPD2 GDE3 OBDPF UNQ1935/PRO4418
Q9Y4B6	DCAF1_HUMAN	DCAF1 KIAA0800 RIP VPRBP
P12314	FCGR1_HUMAN	FCGR1A FCG1 FCGR1 IGFR1
Q9Y2L6	FRM4B_HUMAN	FRMD4B GRSP1 KIAA1013
P50402	EMD_HUMAN	EMD EDMD STA
Q9HCS5	E41LA_HUMAN	EPB41L4A EPB41L4
Q9Y324	FCF1_HUMAN	FCF1 C14orf111 CGI-35
A8MZA4	GG6L6_HUMAN	GOLGA6L6
Q8TEQ6	GEMI5_HUMAN	GEMIN5
Q902F8	ENK8_HUMAN	ERVK-8
O75420	GGYF1_HUMAN	GIGYF1 CDS2 PERQ1 PP3360
Q8N104	D106A_HUMAN	DEFB106A BD6 DEFB106 DEFB6; DEFB106B
Q06265	EXOS9_HUMAN	EXOSC9 PMSCL1
O43826	G6PT1_HUMAN	SLC37A4 G6PT G6PT1 PRO0685 TRG19
Q9NS71	GKN1_HUMAN	GKN1 AMP18 CA11 UNQ489/PRO1005
Q5VSY0	GKAP1_HUMAN	GKAP1 GKAP42 FKSG21
Q86XP6	GKN2_HUMAN	GKN2 BLOT GDDR TFIZ1 UNQ465/PRO813
P50150	GBG4_HUMAN	GNG4 GNGT4
Q92915	FGF14_HUMAN	FGF14 FHF4
O75879	GATB_HUMAN	GATB PET112 PET112L HSPC199
Q9UKR5	ERG28_HUMAN	ERG28 C14orf1 AD-011 HSPC288 x0006
Q9BQA9	CYBC1_HUMAN	CYBC1 C17orf62 EROS
A0A1B0GTU2	CTXD1_HUMAN	CTXND1
Q86YJ5	MARH9_HUMAN	MARCH9 RNF179
P58512	CU067_HUMAN	LINC01547 C21orf67 C21orf69
Q8TCZ7	CU074_HUMAN	LINC00308 C21orf74 NCRNA00308 PRED16
A8MPP1	D11L8_HUMAN	DDX11L8
P25686	DNJB2_HUMAN	DNAJB2 HSJ1 HSPF3
Q8WXX5	DNJC9_HUMAN	DNAJC9
Q9H467	CUED2_HUMAN	CUEDC2 C10orf66 HOYS6
A8MZ26	EFCB9_HUMAN	EFCAB9
Q14999	CUL7_HUMAN	CUL7 KIAA0076
P08174	DAF_HUMAN	CD55 CR DAF
P14854	CX6B1_HUMAN	COX6B1 COX6B
P49682	CXCR3_HUMAN	CXCR3 GPR9
O43169	CYB5B_HUMAN	CYB5B CYB5M OMB5
Q9P2E8	MARH4_HUMAN	MARCH4 KIAA1399 RNF174
Q9H992	MARH7_HUMAN	MARCH7 AXOT RNF177
Q12794	HYAL1_HUMAN	HYAL1 LUCA1
Q9H825	METL8_HUMAN	METTL8
Q2M3T9	HYAL4_HUMAN	HYAL4
Q8TCB7	METL6_HUMAN	METTL6
P27448	MARK3_HUMAN	MARK3 CTAK1 EMK2
Q9H1A3	METL9_HUMAN	METTL9 DREV CGI-81
Q86SQ4	AGRG6_HUMAN	ADGRG6 DREG GPR126 VIGR
A0A1B0GUS0	CS085_HUMAN	C19orf85
Q6RUI8	CS048_HUMAN	C19orf48
Q96JK2	DCAF5_HUMAN	DCAF5 BCRG2 KIAA1824 WDR22
Q96LA6	FCRL1_HUMAN	FCRL1 FCRH1 IFGP1 IRTA5
Q6P158	DHX57_HUMAN	DHX57
Q6ZMI3	GLDN_HUMAN	GLDN COLM UNQ9339/PRO34011
Q9H0R5	GBP3_HUMAN	GBP3
P31644	GBRA5_HUMAN	GABRA5
Q9Y3R5	DOP2_HUMAN	DOP1B C21orf5 DOPEY2 KIAA0933
Q9NYP3	DONS_HUMAN	DONSON C21orf60
Q9UBX3	DIC_HUMAN	SLC25A10 DIC
P34059	GALNS_HUMAN	GALNS
Q5UAW9	GP157_HUMAN	GPR157
Q0P6D2	DIK1C_HUMAN	DIPK1C C18orf51 FAM69C
Q9UJ42	GP160_HUMAN	GPR160 GPCR150
Q9H7Y0	DIK2B_HUMAN	DIPK2B CXorf36 DIA1R UNQ1862/PRO3743
Q8TDT2	GP152_HUMAN	GPR152 PGR5
Q8TE85	GRHL3_HUMAN	GRHL3 SOM TFCP2L4
O14626	GP171_HUMAN	GPR171 H963
P63211	GBG1_HUMAN	GNGT1
B3EWF7	EP2A2_HUMAN	EPM2A
Q9P265	DIP2B_HUMAN	DIP2B KIAA1463
Q9BVM2	DPCD_HUMAN	DPCD
Q9Y2E4	DIP2C_HUMAN	DIP2C KIAA0934
P07902	GALT_HUMAN	GALT
Q9NY28	GALT8_HUMAN	GALNT8
Q04446	GLGB_HUMAN	GBE1
Q13003	GRIK3_HUMAN	GRIK3 GLUR7
Q8IWT3	CUL9_HUMAN	CUL9 H7AP1 KIAA0708 PARC
P16422	EPCAM_HUMAN	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1
P30793	GCH1_HUMAN	GCH1 DYT5 GCH
Q6ZVF9	GRIN3_HUMAN	GPRIN3 KIAA2027
O60318	GANP_HUMAN	MCM3AP GANP KIAA0572 MAP80
P32298	GRK4_HUMAN	GRK4 GPRK2L GPRK4
P29320	EPHA3_HUMAN	EPHA3 ETK ETK1 HEK TYRO4
Q8IUY3	GRM2A_HUMAN	GRAMD2A GRAMD2
Q9NY12	GAR1_HUMAN	GAR1 NOLA1
Q9HC44	GPBL1_HUMAN	GPBP1L1 SP192
O95267	GRP1_HUMAN	RASGRP1 RASGRP
P09341	GROA_HUMAN	CXCL1 GRO GRO1 GROA MGSA SCYB1
Q9P2X0	DPM3_HUMAN	DPM3
P78333	GPC5_HUMAN	GPC5
Q9NVH1	DJC11_HUMAN	DNAJC11
Q8N335	GPD1L_HUMAN	GPD1L KIAA0089
Q6ZNI0	GCNT7_HUMAN	GCNT7 C20orf105
Q7L775	EPMIP_HUMAN	EPM2AIP1 KIAA0766 My007
P15976	GATA1_HUMAN	GATA1 ERYF1 GF1
P18146	EGR1_HUMAN	EGR1 KROX24 ZNF225
Q9UBT3	DKK4_HUMAN	DKK4
P04150	GCR_HUMAN	NR3C1 GRL
P11161	EGR2_HUMAN	EGR2 KROX20
Q9BZE0	GLIS2_HUMAN	GLIS2 NKL
O76075	DFFB_HUMAN	DFFB CAD DFF2 DFF40
O00548	DLL1_HUMAN	DLL1 UNQ146/PRO172
P23434	GCSH_HUMAN	GCSH
Q9NP97	DLRB1_HUMAN	DYNLRB1 BITH DNCL2A DNLC2A ROBLD1 HSPC162
Q9NR61	DLL4_HUMAN	DLL4 UNQ1895/PRO4341
Q15303	ERBB4_HUMAN	ERBB4 HER4
A6NN92	CXE1_HUMAN	GJE1
Q9UI46	DNAI1_HUMAN	DNAI1
O43248	HXC11_HUMAN	HOXC11 HOX3H
Q14117	DPYS_HUMAN	DPYS
Q14195	DPYL3_HUMAN	DPYSL3 CRMP4 DRP3 ULIP ULIP1
Q12882	DPYD_HUMAN	DPYD
P79483	DRB3_HUMAN	HLA-DRB3
P21728	DRD1_HUMAN	DRD1
O95995	DRC4_HUMAN	GAS8 DRC4 GAS11
Q8IX94	CTGE4_HUMAN	CTAGE4
P00156	CYB_HUMAN	MT-CYB COB CYTB MTCYB
P13639	EF2_HUMAN	EEF2 EF2
Q86UP6	CUZD1_HUMAN	CUZD1 UNQ224/PRO257
Q8N3D4	EH1L1_HUMAN	EHBP1L1
Q6PEY0	CXB7_HUMAN	GJB7 CX25
A6NEN9	CX065_HUMAN	CXorf65
Q92506	DHB8_HUMAN	HSD17B8 FABGL HKE6 RING2 SDR30C1
Q16655	MAR1_HUMAN	MLANA MART1
P19367	HXK1_HUMAN	HK1
P18564	ITB6_HUMAN	ITGB6
Q96F46	I17RA_HUMAN	IL17RA IL17R
P42679	MATK_HUMAN	MATK CTK HYL
Q6UY18	LIGO4_HUMAN	LINGO4 LRRN6D UNQ9248/PRO34002
Q8N9M1	CS047_HUMAN	C19orf47
Q8WXC6	CSN9_HUMAN	COPS9 MYEOV2
Q8N4T4	ARG39_HUMAN	ARHGEF39 C9orf100
P22003	BMP5_HUMAN	BMP5
Q9HD42	CHM1A_HUMAN	CHMP1A CHMP1 KIAA0047 PCOLN3 PRSM1
P30679	GNA15_HUMAN	GNA15 GNA16
Q5JWF2	GNAS1_HUMAN	GNAS GNAS1
O75822	EIF3J_HUMAN	EIF3J EIF3S1 PRO0391
Q92904	DAZL_HUMAN	DAZL DAZH DAZL1 DAZLA SPGYLA
P15090	FABP4_HUMAN	FABP4
Q8TE68	ES8L1_HUMAN	EPS8L1 DRC3 EPS8R1 PP10566
Q9UFH2	DYH17_HUMAN	DNAH17 DNAHL1 DNEL2
P52306	GDS1_HUMAN	RAP1GDS1
Q9NRM1	ENAM_HUMAN	ENAM
P06734	FCER2_HUMAN	FCER2 CD23A CLEC4J FCE2 IGEBF
P50549	ETV1_HUMAN	ETV1 ER81
Q96P31	FCRL3_HUMAN	FCRL3 FCRH3 IFGP3 IRTA3 SPAP2
P0CL81	GG12G_HUMAN	GAGE12G
Q2M3D2	EX3L2_HUMAN	EXOC3L2 XTP7
A6NI86	GG6LA_HUMAN	GOLGA6L10 GOLGA6L18
Q5CZC0	FSIP2_HUMAN	FSIP2
Q01780	EXOSX_HUMAN	EXOSC10 PMSCL PMSCL2 RRP6
Q8TED1	GPX8_HUMAN	GPX8 UNQ847/PRO1785
A6NDN3	GOG6B_HUMAN	GOLGA6B GOLGA
H3BSY2	GOG8M_HUMAN	GOLGA8M
Q92913	FGF13_HUMAN	FGF13 FHF2
Q2TAP0	GOG7B_HUMAN	GOLGA7B C10orf132 C10orf133
P63130	GAK7_HUMAN	ERVK-7
Q01459	DIAC_HUMAN	CTBS CTB
Q7L591	DOK3_HUMAN	DOK3
P52951	GBX2_HUMAN	GBX2
Q01415	GALK2_HUMAN	GALK2 GK2
Q9NPR9	GP108_HUMAN	GPR108 LUSTR2
P51570	GALK1_HUMAN	GALK1 GALK
Q9UPY3	DICER_HUMAN	DICER1 DICER HERNA KIAA0928
Q10471	GALT2_HUMAN	GALNT2
A0A0U1RQF7	DP2NB_HUMAN	DPEP2NB
Q7Z601	GP142_HUMAN	GPR142 PGR2
Q10472	GALT1_HUMAN	GALNT1
Q9NPA8	ENY2_HUMAN	ENY2 DC6
P48058	GRIA4_HUMAN	GRIA4 GLUR4
P42262	GRIA2_HUMAN	GRIA2 GLUR2
Q9HCL2	GPAT1_HUMAN	GPAM GPAT1 KIAA1560
